Realization,Budget,Rank,Source_unit,Ingredient_Class
132,12,8,Rice bran::RealV6_米糠_sample6,Rice bran
132,12,9,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
132,12,10,Rice bran::RealV6_米糠_sample4,Rice bran
132,12,11,Brown rice::RealV6_糙米_sample3,Brown rice
132,12,12,Sorghum::RealV6_高粱_sample1,Sorghum
133,3,1,Rice bran::RealV6_米糠_sample1,Rice bran
133,3,2,Brown rice::RealV6_糙米_sample3,Brown rice
133,3,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
133,6,1,Rice bran::RealV6_米糠_sample1,Rice bran
133,6,2,Brown rice::RealV6_糙米_sample3,Brown rice
133,6,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
133,6,4,Paddy rice::RealV6_稻谷_sample7,Paddy rice
133,6,5,Rice bran::RealV6_米糠_sample3,Rice bran
133,6,6,Barley::RealV6_大麦_sample5,Barley
133,9,1,Rice bran::RealV6_米糠_sample1,Rice bran
133,9,2,Brown rice::RealV6_糙米_sample3,Brown rice
133,9,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
133,9,4,Paddy rice::RealV6_稻谷_sample7,Paddy rice
133,9,5,Rice bran::RealV6_米糠_sample3,Rice bran
133,9,6,Barley::RealV6_大麦_sample5,Barley
133,9,7,Rice bran::RealV6_米糠_sample10,Rice bran
133,9,8,Barley::RealV6_大麦_sample2,Barley
133,9,9,Paddy rice::RealV6_稻谷_sample10,Paddy rice
133,12,1,Rice bran::RealV6_米糠_sample1,Rice bran
133,12,2,Brown rice::RealV6_糙米_sample3,Brown rice
133,12,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
133,12,4,Paddy rice::RealV6_稻谷_sample7,Paddy rice
133,12,5,Rice bran::RealV6_米糠_sample3,Rice bran
133,12,6,Barley::RealV6_大麦_sample5,Barley
133,12,7,Rice bran::RealV6_米糠_sample10,Rice bran
133,12,8,Barley::RealV6_大麦_sample2,Barley
133,12,9,Paddy rice::RealV6_稻谷_sample10,Paddy rice
133,12,10,Barley::RealV6_大麦_sample1,Barley
133,12,11,Sorghum::RealV6_高粱_sample10,Sorghum
133,12,12,Sorghum::RealV6_高粱_sample5,Sorghum
134,3,1,Barley::RealV6_大麦_sample1,Barley
134,3,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
134,3,3,Cassava::RealV6_木薯_sample6,Cassava
134,6,1,Barley::RealV6_大麦_sample1,Barley
134,6,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
134,6,3,Cassava::RealV6_木薯_sample6,Cassava
134,6,4,Cassava::RealV6_木薯_sample2,Cassava
134,6,5,Barley::RealV6_大麦_sample9,Barley
134,6,6,Paddy rice::RealV6_稻谷_sample5,Paddy rice
134,9,1,Barley::RealV6_大麦_sample1,Barley
134,9,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
134,9,3,Cassava::RealV6_木薯_sample6,Cassava
134,9,4,Cassava::RealV6_木薯_sample2,Cassava
134,9,5,Barley::RealV6_大麦_sample9,Barley
134,9,6,Paddy rice::RealV6_稻谷_sample5,Paddy rice
134,9,7,Paddy rice::RealV6_稻谷_sample3,Paddy rice
134,9,8,Brown rice::RealV6_糙米_sample9,Brown rice
134,9,9,Rice bran::RealV6_米糠_sample10,Rice bran
134,12,1,Barley::RealV6_大麦_sample1,Barley
134,12,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
134,12,3,Cassava::RealV6_木薯_sample6,Cassava
134,12,4,Cassava::RealV6_木薯_sample2,Cassava
134,12,5,Barley::RealV6_大麦_sample9,Barley
134,12,6,Paddy rice::RealV6_稻谷_sample5,Paddy rice
134,12,7,Paddy rice::RealV6_稻谷_sample3,Paddy rice
134,12,8,Brown rice::RealV6_糙米_sample9,Brown rice
134,12,9,Rice bran::RealV6_米糠_sample10,Rice bran
134,12,10,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
134,12,11,Paddy rice::RealV6_稻谷_sample10,Paddy rice
134,12,12,Wheat::RealV6_小麦_sample5,Wheat
135,3,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
135,3,2,Cassava::RealV6_木薯_sample9,Cassava
135,3,3,Barley::RealV6_大麦_sample9,Barley
135,6,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
135,6,2,Cassava::RealV6_木薯_sample9,Cassava
135,6,3,Barley::RealV6_大麦_sample9,Barley
135,6,4,Sorghum::RealV6_高粱_sample8,Sorghum
135,6,5,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
135,6,6,Paddy rice::RealV6_稻谷_sample3,Paddy rice
135,9,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
135,9,2,Cassava::RealV6_木薯_sample9,Cassava
135,9,3,Barley::RealV6_大麦_sample9,Barley
135,9,4,Sorghum::RealV6_高粱_sample8,Sorghum
135,9,5,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
135,9,6,Paddy rice::RealV6_稻谷_sample3,Paddy rice
135,9,7,Wheat::RealV6_小麦_sample4,Wheat
135,9,8,Sorghum::RealV6_高粱_sample7,Sorghum
135,9,9,Sorghum::RealV6_高粱_sample3,Sorghum
135,12,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
135,12,2,Cassava::RealV6_木薯_sample9,Cassava
135,12,3,Barley::RealV6_大麦_sample9,Barley
135,12,4,Sorghum::RealV6_高粱_sample8,Sorghum
135,12,5,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
135,12,6,Paddy rice::RealV6_稻谷_sample3,Paddy rice
135,12,7,Wheat::RealV6_小麦_sample4,Wheat
135,12,8,Sorghum::RealV6_高粱_sample7,Sorghum
135,12,9,Sorghum::RealV6_高粱_sample3,Sorghum
135,12,10,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
135,12,11,Wheat::RealV6_小麦_sample9,Wheat
135,12,12,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
136,3,1,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
136,3,2,Sorghum::RealV6_高粱_sample6,Sorghum
136,3,3,Cassava::RealV6_木薯_sample3,Cassava
136,6,1,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
136,6,2,Sorghum::RealV6_高粱_sample6,Sorghum
136,6,3,Cassava::RealV6_木薯_sample3,Cassava
136,6,4,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
136,6,5,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
136,6,6,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
136,9,1,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
136,9,2,Sorghum::RealV6_高粱_sample6,Sorghum
136,9,3,Cassava::RealV6_木薯_sample3,Cassava
136,9,4,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
136,9,5,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
136,9,6,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
136,9,7,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
136,9,8,Wheat::RealV6_小麦_sample2,Wheat
136,9,9,Wheat::RealV6_小麦_sample7,Wheat
136,12,1,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
136,12,2,Sorghum::RealV6_高粱_sample6,Sorghum
136,12,3,Cassava::RealV6_木薯_sample3,Cassava
136,12,4,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
136,12,5,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
136,12,6,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
136,12,7,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
136,12,8,Wheat::RealV6_小麦_sample2,Wheat
136,12,9,Wheat::RealV6_小麦_sample7,Wheat
136,12,10,Paddy rice::RealV6_稻谷_sample5,Paddy rice
136,12,11,Brown rice::RealV6_糙米_sample1,Brown rice
136,12,12,Sorghum::RealV6_高粱_sample4,Sorghum
137,3,1,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
137,3,2,Wheat bran::RealV6_小麦麸_sample1,Wheat bran
137,3,3,Brown rice::RealV6_糙米_sample3,Brown rice
137,6,1,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
137,6,2,Wheat bran::RealV6_小麦麸_sample1,Wheat bran
137,6,3,Brown rice::RealV6_糙米_sample3,Brown rice
137,6,4,Barley::RealV6_大麦_sample9,Barley
137,6,5,Cassava::RealV6_木薯_sample7,Cassava
137,6,6,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
137,9,1,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
137,9,2,Wheat bran::RealV6_小麦麸_sample1,Wheat bran
137,9,3,Brown rice::RealV6_糙米_sample3,Brown rice
137,9,4,Barley::RealV6_大麦_sample9,Barley
137,9,5,Cassava::RealV6_木薯_sample7,Cassava
137,9,6,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
137,9,7,Barley::RealV6_大麦_sample5,Barley
137,9,8,Paddy rice::RealV6_稻谷_sample3,Paddy rice
137,9,9,Cassava::RealV6_木薯_sample1,Cassava
137,12,1,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
137,12,2,Wheat bran::RealV6_小麦麸_sample1,Wheat bran
137,12,3,Brown rice::RealV6_糙米_sample3,Brown rice
137,12,4,Barley::RealV6_大麦_sample9,Barley
137,12,5,Cassava::RealV6_木薯_sample7,Cassava
137,12,6,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
137,12,7,Barley::RealV6_大麦_sample5,Barley
137,12,8,Paddy rice::RealV6_稻谷_sample3,Paddy rice
137,12,9,Cassava::RealV6_木薯_sample1,Cassava
137,12,10,Cassava::RealV6_木薯_sample6,Cassava
137,12,11,Barley::RealV6_大麦_sample7,Barley
137,12,12,Sorghum::RealV6_高粱_sample4,Sorghum
138,3,1,Barley::RealV6_大麦_sample2,Barley
138,3,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
138,3,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
138,6,1,Barley::RealV6_大麦_sample2,Barley
138,6,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
138,6,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
138,6,4,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
138,6,5,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
138,6,6,Cassava::RealV6_木薯_sample4,Cassava
138,9,1,Barley::RealV6_大麦_sample2,Barley
138,9,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
138,9,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
138,9,4,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
138,9,5,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
138,9,6,Cassava::RealV6_木薯_sample4,Cassava
138,9,7,Sorghum::RealV6_高粱_sample8,Sorghum
138,9,8,Wheat::RealV6_小麦_sample8,Wheat
138,9,9,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
138,12,1,Barley::RealV6_大麦_sample2,Barley
138,12,2,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
138,12,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
138,12,4,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
138,12,5,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
138,12,6,Cassava::RealV6_木薯_sample4,Cassava
138,12,7,Sorghum::RealV6_高粱_sample8,Sorghum
138,12,8,Wheat::RealV6_小麦_sample8,Wheat
138,12,9,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
138,12,10,Rice bran::RealV6_米糠_sample7,Rice bran
138,12,11,Rice bran::RealV6_米糠_sample4,Rice bran
138,12,12,Sorghum::RealV6_高粱_sample7,Sorghum
139,3,1,Brown rice::RealV6_糙米_sample4,Brown rice
139,3,2,Cassava::RealV6_木薯_sample5,Cassava
139,3,3,Cassava::RealV6_木薯_sample10,Cassava
139,6,1,Brown rice::RealV6_糙米_sample4,Brown rice
139,6,2,Cassava::RealV6_木薯_sample5,Cassava
139,6,3,Cassava::RealV6_木薯_sample10,Cassava
139,6,4,Paddy rice::RealV6_稻谷_sample11,Paddy rice
139,6,5,Cassava::RealV6_木薯_sample1,Cassava
139,6,6,Rice bran::RealV6_米糠_sample1,Rice bran
139,9,1,Brown rice::RealV6_糙米_sample4,Brown rice
139,9,2,Cassava::RealV6_木薯_sample5,Cassava
139,9,3,Cassava::RealV6_木薯_sample10,Cassava
139,9,4,Paddy rice::RealV6_稻谷_sample11,Paddy rice
139,9,5,Cassava::RealV6_木薯_sample1,Cassava
139,9,6,Rice bran::RealV6_米糠_sample1,Rice bran
139,9,7,Sorghum::RealV6_高粱_sample7,Sorghum
139,9,8,Rice bran::RealV6_米糠_sample5,Rice bran
139,9,9,Paddy rice::RealV6_稻谷_sample5,Paddy rice
139,12,1,Brown rice::RealV6_糙米_sample4,Brown rice
139,12,2,Cassava::RealV6_木薯_sample5,Cassava
139,12,3,Cassava::RealV6_木薯_sample10,Cassava
139,12,4,Paddy rice::RealV6_稻谷_sample11,Paddy rice
139,12,5,Cassava::RealV6_木薯_sample1,Cassava
139,12,6,Rice bran::RealV6_米糠_sample1,Rice bran
139,12,7,Sorghum::RealV6_高粱_sample7,Sorghum
139,12,8,Rice bran::RealV6_米糠_sample5,Rice bran
139,12,9,Paddy rice::RealV6_稻谷_sample5,Paddy rice
139,12,10,Barley::RealV6_大麦_sample2,Barley
139,12,11,Paddy rice::RealV6_稻谷_sample3,Paddy rice
139,12,12,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
140,3,1,Wheat::RealV6_小麦_sample6,Wheat
140,3,2,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
140,3,3,Sorghum::RealV6_高粱_sample5,Sorghum
140,6,1,Wheat::RealV6_小麦_sample6,Wheat
140,6,2,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
140,6,3,Sorghum::RealV6_高粱_sample5,Sorghum
140,6,4,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
140,6,5,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
140,6,6,Rice bran::RealV6_米糠_sample6,Rice bran
140,9,1,Wheat::RealV6_小麦_sample6,Wheat
140,9,2,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
140,9,3,Sorghum::RealV6_高粱_sample5,Sorghum
140,9,4,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
140,9,5,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
140,9,6,Rice bran::RealV6_米糠_sample6,Rice bran
140,9,7,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
140,9,8,Paddy rice::RealV6_稻谷_sample9,Paddy rice
140,9,9,Brown rice::RealV6_糙米_sample6,Brown rice
140,12,1,Wheat::RealV6_小麦_sample6,Wheat
140,12,2,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
140,12,3,Sorghum::RealV6_高粱_sample5,Sorghum
140,12,4,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
140,12,5,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
140,12,6,Rice bran::RealV6_米糠_sample6,Rice bran
140,12,7,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
140,12,8,Paddy rice::RealV6_稻谷_sample9,Paddy rice
140,12,9,Brown rice::RealV6_糙米_sample6,Brown rice
140,12,10,Rice bran::RealV6_米糠_sample8,Rice bran
140,12,11,Rice bran::RealV6_米糠_sample9,Rice bran
140,12,12,Brown rice::RealV6_糙米_sample3,Brown rice
141,3,1,Paddy rice::RealV6_稻谷_sample1,Paddy rice
141,3,2,Sorghum::RealV6_高粱_sample10,Sorghum
141,3,3,Wheat::RealV6_小麦_sample1,Wheat
141,6,1,Paddy rice::RealV6_稻谷_sample1,Paddy rice
141,6,2,Sorghum::RealV6_高粱_sample10,Sorghum
141,6,3,Wheat::RealV6_小麦_sample1,Wheat
141,6,4,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
141,6,5,Rice bran::RealV6_米糠_sample2,Rice bran
141,6,6,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
141,9,1,Paddy rice::RealV6_稻谷_sample1,Paddy rice
141,9,2,Sorghum::RealV6_高粱_sample10,Sorghum
141,9,3,Wheat::RealV6_小麦_sample1,Wheat
141,9,4,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
141,9,5,Rice bran::RealV6_米糠_sample2,Rice bran
141,9,6,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
141,9,7,Sorghum::RealV6_高粱_sample6,Sorghum
141,9,8,Wheat::RealV6_小麦_sample6,Wheat
141,9,9,Cassava::RealV6_木薯_sample10,Cassava
141,12,1,Paddy rice::RealV6_稻谷_sample1,Paddy rice
141,12,2,Sorghum::RealV6_高粱_sample10,Sorghum
141,12,3,Wheat::RealV6_小麦_sample1,Wheat
141,12,4,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
141,12,5,Rice bran::RealV6_米糠_sample2,Rice bran
141,12,6,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
141,12,7,Sorghum::RealV6_高粱_sample6,Sorghum
141,12,8,Wheat::RealV6_小麦_sample6,Wheat
141,12,9,Cassava::RealV6_木薯_sample10,Cassava
141,12,10,Wheat::RealV6_小麦_sample3,Wheat
141,12,11,Cassava::RealV6_木薯_sample4,Cassava
141,12,12,Paddy rice::RealV6_稻谷_sample6,Paddy rice
142,3,1,Brown rice::RealV6_糙米_sample7,Brown rice
142,3,2,Rice bran::RealV6_米糠_sample7,Rice bran
142,3,3,Barley::RealV6_大麦_sample10,Barley
142,6,1,Brown rice::RealV6_糙米_sample7,Brown rice
142,6,2,Rice bran::RealV6_米糠_sample7,Rice bran
142,6,3,Barley::RealV6_大麦_sample10,Barley
142,6,4,Sorghum::RealV6_高粱_sample6,Sorghum
142,6,5,Sorghum::RealV6_高粱_sample5,Sorghum
142,6,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
142,9,1,Brown rice::RealV6_糙米_sample7,Brown rice
142,9,2,Rice bran::RealV6_米糠_sample7,Rice bran
142,9,3,Barley::RealV6_大麦_sample10,Barley
142,9,4,Sorghum::RealV6_高粱_sample6,Sorghum
142,9,5,Sorghum::RealV6_高粱_sample5,Sorghum
142,9,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
142,9,7,Wheat::RealV6_小麦_sample3,Wheat
142,9,8,Barley::RealV6_大麦_sample1,Barley
142,9,9,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
142,12,1,Brown rice::RealV6_糙米_sample7,Brown rice
142,12,2,Rice bran::RealV6_米糠_sample7,Rice bran
142,12,3,Barley::RealV6_大麦_sample10,Barley
142,12,4,Sorghum::RealV6_高粱_sample6,Sorghum
142,12,5,Sorghum::RealV6_高粱_sample5,Sorghum
142,12,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
142,12,7,Wheat::RealV6_小麦_sample3,Wheat
142,12,8,Barley::RealV6_大麦_sample1,Barley
142,12,9,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
142,12,10,Sorghum::RealV6_高粱_sample8,Sorghum
142,12,11,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
142,12,12,Wheat bran::RealV6_小麦麸_sample4,Wheat bran
143,3,1,Wheat::RealV6_小麦_sample5,Wheat
143,3,2,Brown rice::RealV6_糙米_sample1,Brown rice
143,3,3,Sorghum::RealV6_高粱_sample10,Sorghum
143,6,1,Wheat::RealV6_小麦_sample5,Wheat
143,6,2,Brown rice::RealV6_糙米_sample1,Brown rice
143,6,3,Sorghum::RealV6_高粱_sample10,Sorghum
143,6,4,Brown rice::RealV6_糙米_sample9,Brown rice
143,6,5,Paddy rice::RealV6_稻谷_sample7,Paddy rice
143,6,6,Cassava::RealV6_木薯_sample1,Cassava
143,9,1,Wheat::RealV6_小麦_sample5,Wheat
143,9,2,Brown rice::RealV6_糙米_sample1,Brown rice
143,9,3,Sorghum::RealV6_高粱_sample10,Sorghum
143,9,4,Brown rice::RealV6_糙米_sample9,Brown rice
143,9,5,Paddy rice::RealV6_稻谷_sample7,Paddy rice
143,9,6,Cassava::RealV6_木薯_sample1,Cassava
143,9,7,Wheat::RealV6_小麦_sample7,Wheat
143,9,8,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
143,9,9,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
143,12,1,Wheat::RealV6_小麦_sample5,Wheat
143,12,2,Brown rice::RealV6_糙米_sample1,Brown rice
143,12,3,Sorghum::RealV6_高粱_sample10,Sorghum
143,12,4,Brown rice::RealV6_糙米_sample9,Brown rice
143,12,5,Paddy rice::RealV6_稻谷_sample7,Paddy rice
143,12,6,Cassava::RealV6_木薯_sample1,Cassava
143,12,7,Wheat::RealV6_小麦_sample7,Wheat
143,12,8,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
143,12,9,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
143,12,10,Paddy rice::RealV6_稻谷_sample3,Paddy rice
143,12,11,Rapeseed cake::RealV6_菜籽饼_sample9,Rapeseed cake
143,12,12,Paddy rice::RealV6_稻谷_sample2,Paddy rice
144,3,1,Brown rice::RealV6_糙米_sample4,Brown rice
144,3,2,Barley::RealV6_大麦_sample7,Barley
144,3,3,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
144,6,1,Brown rice::RealV6_糙米_sample4,Brown rice
144,6,2,Barley::RealV6_大麦_sample7,Barley
144,6,3,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
144,6,4,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
144,6,5,Cassava::RealV6_木薯_sample2,Cassava
144,6,6,Brown rice::RealV6_糙米_sample5,Brown rice
144,9,1,Brown rice::RealV6_糙米_sample4,Brown rice
144,9,2,Barley::RealV6_大麦_sample7,Barley
144,9,3,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
144,9,4,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
144,9,5,Cassava::RealV6_木薯_sample2,Cassava
144,9,6,Brown rice::RealV6_糙米_sample5,Brown rice
144,9,7,Paddy rice::RealV6_稻谷_sample5,Paddy rice
144,9,8,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
144,9,9,Brown rice::RealV6_糙米_sample1,Brown rice
144,12,1,Brown rice::RealV6_糙米_sample4,Brown rice
144,12,2,Barley::RealV6_大麦_sample7,Barley
144,12,3,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
144,12,4,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
144,12,5,Cassava::RealV6_木薯_sample2,Cassava
144,12,6,Brown rice::RealV6_糙米_sample5,Brown rice
144,12,7,Paddy rice::RealV6_稻谷_sample5,Paddy rice
144,12,8,Rapeseed cake::RealV6_菜籽饼_sample1,Rapeseed cake
144,12,9,Brown rice::RealV6_糙米_sample1,Brown rice
144,12,10,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
144,12,11,Rice bran::RealV6_米糠_sample8,Rice bran
144,12,12,Sorghum::RealV6_高粱_sample9,Sorghum
145,3,1,Rice bran::RealV6_米糠_sample3,Rice bran
145,3,2,Brown rice::RealV6_糙米_sample8,Brown rice
145,3,3,Wheat::RealV6_小麦_sample4,Wheat
145,6,1,Rice bran::RealV6_米糠_sample3,Rice bran
145,6,2,Brown rice::RealV6_糙米_sample8,Brown rice
145,6,3,Wheat::RealV6_小麦_sample4,Wheat
145,6,4,Brown rice::RealV6_糙米_sample5,Brown rice
145,6,5,Cassava::RealV6_木薯_sample2,Cassava
145,6,6,Barley::RealV6_大麦_sample4,Barley
145,9,1,Rice bran::RealV6_米糠_sample3,Rice bran
145,9,2,Brown rice::RealV6_糙米_sample8,Brown rice
145,9,3,Wheat::RealV6_小麦_sample4,Wheat
145,9,4,Brown rice::RealV6_糙米_sample5,Brown rice
145,9,5,Cassava::RealV6_木薯_sample2,Cassava
145,9,6,Barley::RealV6_大麦_sample4,Barley
145,9,7,Rice bran::RealV6_米糠_sample2,Rice bran
145,9,8,Sorghum::RealV6_高粱_sample3,Sorghum
145,9,9,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
145,12,1,Rice bran::RealV6_米糠_sample3,Rice bran
145,12,2,Brown rice::RealV6_糙米_sample8,Brown rice
145,12,3,Wheat::RealV6_小麦_sample4,Wheat
145,12,4,Brown rice::RealV6_糙米_sample5,Brown rice
145,12,5,Cassava::RealV6_木薯_sample2,Cassava
145,12,6,Barley::RealV6_大麦_sample4,Barley
145,12,7,Rice bran::RealV6_米糠_sample2,Rice bran
145,12,8,Sorghum::RealV6_高粱_sample3,Sorghum
145,12,9,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
145,12,10,Paddy rice::RealV6_稻谷_sample9,Paddy rice
145,12,11,Barley::RealV6_大麦_sample9,Barley
145,12,12,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
146,3,1,Paddy rice::RealV6_稻谷_sample4,Paddy rice
146,3,2,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
146,3,3,Wheat::RealV6_小麦_sample8,Wheat
146,6,1,Paddy rice::RealV6_稻谷_sample4,Paddy rice
146,6,2,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
146,6,3,Wheat::RealV6_小麦_sample8,Wheat
146,6,4,Brown rice::RealV6_糙米_sample2,Brown rice
146,6,5,Brown rice::RealV6_糙米_sample5,Brown rice
146,6,6,Rice bran::RealV6_米糠_sample3,Rice bran
146,9,1,Paddy rice::RealV6_稻谷_sample4,Paddy rice
146,9,2,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
146,9,3,Wheat::RealV6_小麦_sample8,Wheat
146,9,4,Brown rice::RealV6_糙米_sample2,Brown rice
146,9,5,Brown rice::RealV6_糙米_sample5,Brown rice
146,9,6,Rice bran::RealV6_米糠_sample3,Rice bran
146,9,7,Cassava::RealV6_木薯_sample4,Cassava
146,9,8,Cassava::RealV6_木薯_sample7,Cassava
146,9,9,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
146,12,1,Paddy rice::RealV6_稻谷_sample4,Paddy rice
146,12,2,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
146,12,3,Wheat::RealV6_小麦_sample8,Wheat
146,12,4,Brown rice::RealV6_糙米_sample2,Brown rice
146,12,5,Brown rice::RealV6_糙米_sample5,Brown rice
146,12,6,Rice bran::RealV6_米糠_sample3,Rice bran
146,12,7,Cassava::RealV6_木薯_sample4,Cassava
146,12,8,Cassava::RealV6_木薯_sample7,Cassava
146,12,9,Rapeseed cake::RealV6_菜籽饼_sample7,Rapeseed cake
146,12,10,Brown rice::RealV6_糙米_sample1,Brown rice
146,12,11,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
146,12,12,Rice bran::RealV6_米糠_sample9,Rice bran
147,3,1,Rice bran::RealV6_米糠_sample9,Rice bran
147,3,2,Barley::RealV6_大麦_sample7,Barley
147,3,3,Barley::RealV6_大麦_sample5,Barley
147,6,1,Rice bran::RealV6_米糠_sample9,Rice bran
147,6,2,Barley::RealV6_大麦_sample7,Barley
147,6,3,Barley::RealV6_大麦_sample5,Barley
147,6,4,Wheat::RealV6_小麦_sample4,Wheat
